1 497 84 1561
2 785 46 868
3 456 75 1511
4 704 97 1122
5 564 29 1161
6 490 68 1517
7 500 56 1361
8 491 36 1784
9 555 40 1270
10 777 53 1107
11 503 35 1701
12 459 57 1807
13 505 45 1262
14 469 57 1791
15 537 53 1464
16 600 93 1071
17 442 80 1859
18 599 39 1410
19 475 67 1634
20 689 94 1096
21 614 91 1015
22 622 20 1373
23 709 87 869
24 743 91 998
25 753 93 941
26 506 98 1279
27 661 86 939
28 760 51 1091
29 751 54 826
30 654 29 1328
31 650 63 1136
32 729 36 1019
33 479 83 1699
34 590 92 1452
35 619 56 1006
36 793 64 885
37 778 24 1050
38 540 79 1420
39 558 93 1524
40 573 92 1549
41 706 45 1135
42 565 86 1572
43 512 62 1343
44 672 91 990
45 640 86 1175
46 504 96 1546
47 434 29 1450
48 593 91 1315
49 708 31 899
50 708 100 855
51 768 80 983
52 774 54 816
53 562 41 1412
54 794 92 946
55 630 46 1006
56 535 97 1243
57 688 53 1134
58 684 85 919
59 611 69 1420
60 523 24 1496
61 774 48 992
62 797 83 846
63 709 41 924
64 605 28 1410
65 426 72 1434
66 462 73 1684
67 734 50 1035
68 561 89 1205
69 704 42 1193
70 607 86 1171
