1 299 130 99
2 349 115 33
3 299 134 96
4 299 92 77
5 299 196 17
6 599 229 75
7 599 433 32
8 149 142 95
9 149 105 52
10 299 222 35
11 100 59 100
12 169 188 29
13 189 252 42
14 299 374 86
15 299 221 48
16 299 215 17
17 399 256 99
18 399 164 60
19 399 570 61
20 399 393 30
21 199 213 80
22 199 138 19
23 199 80 30
24 199 366 16
25 199 52 50
26 199 138 76
27 119 214 52
28 139 214 98
29 79 107 64
30 299 203 71
31 598 406 83
32 399 162 86
33 798 324 93
34 299 95 98
35 598 190 11
36 399 568 72
37 399 646 50
38 399 610 50
39 499 593 75
40 499 575 73
41 499 606 52
42 399 521 89
43 499 537 18
44 399 591 66
45 399 582 23
46 468 672 80
47 299 560 57
48 399 686 61
49 399 605 72
50 499 686 86
51 399 700 45
52 499 610 64
53 499 865 52
54 499 711 26
55 770 1182 84
56 770 1164 92
57 574 1120 80
58 770 1372 35
59 770 1210 90
60 770 1400 95
61 976 1220 18
62 976 1730 38
63 976 1422 53
64 69 90 85
65 299 542 45
66 368 632 27
67 378 649 63
68 399 590 52
69 499 624 70
70 599 602 54
71 399 302 53
72 499 638 11
73 568 728 30
74 599 823 62
75 399 514 61
76 499 628 44
77 499 585 94
78 499 633 64
79 599 709 90
80 499 541 91
81 499 588 13
82 599 663 42
83 999 621 93
84 169 303 90
85 219 454 59
86 119 151 23
87 199 114 69
88 199 131 19
89 169 246 91
90 399 330 74
91 399 347 30
92 319 346 95
93 199 100 35
94 199 127 78
95 249 216 29
96 299 166 10
97 299 162 38
98 369 164 23
