1 500 829 980
2 500 784 820
3 500 721 933
4 500 789 438
5 500 704 120
6 490 735 390
7 500 771 109
8 460 506 934
9 530 583 477
10 420 586 760
11 480 734 374
12 530 910 316
13 520 831 540
14 580 1010 663
15 560 684 428
16 490 607 577
17 430 714 939
18 590 742 508
19 500 406 438
20 690 734 447
21 560 777 874
22 520 666 321
23 570 758 124
24 490 719 306
25 470 798 781
26 520 891 801
27 470 717 697
28 520 790 498
29 530 884 756
30 530 841 918
31 500 803 415
32 520 809 388
33 570 862 505
34 580 957 692
35 630 736 311
36 500 820 271
37 540 705 387
38 540 710 875
39 840 847 637
40 350 681 517
41 370 746 549
42 450 899 936
43 490 772 138
44 470 828 916
45 430 695 571
46 540 633 177
47 690 619 709
48 460 573 459
49 700 924 296
50 650 878 751
51 390 830 372
52 490 1119 877
53 490 423 690
54 490 418 577
55 390 672 663
56 410 737 430
57 490 890 875
58 390 748 281
59 410 813 209
60 490 966 244
61 520 1077 739
