1 50 829 1528
2 50 784 1544
3 50 721 1422
4 50 789 1330
5 50 704 1205
6 49 735 1868
7 50 771 1784
8 46 506 1229
9 53 583 1124
10 42 586 1254
11 48 734 1304
12 53 910 1917
13 52 831 1015
14 58 1010 1441
15 56 684 1344
16 49 607 1190
17 43 714 1318
18 59 742 1096
19 50 406 1012
20 69 734 1501
21 56 777 1000
22 52 666 1380
23 57 758 1810
24 49 719 1721
25 47 798 1087
26 52 891 1205
27 47 717 1397
28 52 790 1543
29 53 884 1287
30 53 841 1937
31 50 803 1518
32 52 809 1519
33 57 862 1243
34 58 957 1509
35 63 736 1233
36 50 820 1052
37 54 705 1508
38 54 710 1800
39 84 847 1651
40 35 681 1474
41 37 746 1372
42 45 899 1004
43 49 772 1564
44 47 828 1979
45 43 695 1594
46 54 633 1749
47 69 619 1648
48 46 573 1301
49 70 924 1102
50 65 878 1128
51 39 830 1261
52 49 1119 1749
53 49 423 1416
54 49 418 1571
55 39 672 1738
56 41 737 1119
57 49 890 1597
58 39 748 1530
59 41 813 1372
60 49 966 1040
61 52 1077 1581
