1 500 829 1542
2 500 784 1203
3 500 721 1089
4 500 789 1245
5 500 704 1645
6 490 735 1061
7 500 771 1059
8 460 506 1378
9 530 583 1499
10 420 586 1917
11 480 734 1740
12 530 910 1139
13 520 831 1127
14 580 1010 1140
15 560 684 1906
16 490 607 1466
17 430 714 1589
18 590 742 1956
19 500 406 1950
20 690 734 1287
21 560 777 1139
22 520 666 1979
23 570 758 1555
24 490 719 1504
25 470 798 1667
26 520 891 1840
27 470 717 1927
28 520 790 1745
29 530 884 1361
30 530 841 1832
31 500 803 1364
32 520 809 1179
33 570 862 1021
34 580 957 1243
35 630 736 1382
36 500 820 1004
37 540 705 1407
38 540 710 1938
39 840 847 1776
40 350 681 1364
41 370 746 1443
42 450 899 1813
43 490 772 1750
44 470 828 1805
45 430 695 1130
46 540 633 1352
47 690 619 1897
48 460 573 1969
49 700 924 1731
50 650 878 1444
51 390 830 1750
52 490 1119 1591
53 490 423 1976
54 490 418 1276
55 390 672 1259
56 410 737 1493
57 490 890 1895
58 390 748 1596
59 410 813 1940
60 490 966 1901
61 520 1077 1744
